Entrez_Gene_ID	Gene_Name
10870	HCST
6404	SELPLG
10236	HNRPR
84807	NFKBID
3557	IL1RN
10890	RAB10
57580	PREX1
3663	IRF5
1026	CDKN1A
6016	RIT1
259266	ASPM
4541	MT-ND6
26020	LRP10
2124	EVI2B
152100	CMC1
6775	STAT4
9123	SLC16A3
10287	RGS19
164118	TTC24
11329	STK38
128346	C1orf162
51379	CRLF3
4174	MCM5
164312	LRRN4
9462	RASAL2
3707	ITPKB
11151	CORO1A
7357	UGCG
27128	CYTH4
6374	CXCL5
57162	PELI1
6850	SYK
51571	FaM49B
51191	HERC5
113	ADCY7
56905	C15orf39
27090	ST6GALNAC4
94015	TTYH2
6789	STK4
814	CAMK4
3936	LCP1
9184	BUB3
3310	HSPA6
8445	DYRK2
57409	MIF4GD
23380	SRGAP2
8021	NUP214
25904	CNOT10
3683	ITGAL
2358	FPR2
7799	PRDM2
30817	EMR2
388685	FLJ39739
283349	RASSF3
51393	TRPV2
944	TNFSF8
26258	BLOC1S6
26175	C14orf109
57674	RNF213
3662	IRF4
51744	CD244
9818	NUPL1
864	RUNX3
911	CD1C
8553	BHLHE40
54440	SASH3
90874	ZNF697
4323	MMP14
197358	NLRC3
22995	CEP152
474344	GIMAP6
83990	BRIP1
11000	SLC27A3
55635	DEPDC1
240	ALOX5
29116	MYLIP
7046	TGFBR1
9584	RBM49
223082	ZNRF2
50807	ASAP1
6793	STK10
51388	NIP7
5819	PVRL2
55660	PRPF40A
53944	CSNK1G1
84928	TMEM209
640	BLK
1075	CTSC
23117	NPIPB3
51065	RPS27L
54165	DCUN1D1
10148	EBI3
157313	CDCA2
5717	PSMD11
523	ATP6V1A
1955	MEGF9
285628	LOC285628
57565	KLHL14
9928	KIF14
10320	IKZF1
1650	DDOST
9750	FAM65B
51765	MST4
9935	MAFB
3695	ITGB7
3482	IGF2R
5971	RELB
643414	LIPK
30009	TBX21
60559	SPCS3
56253	CRTAM
302	ANXA2
147138	TMC8
57103	C12orf5
79931	TNIP3
3659	IRF1
23214	XPO6
11342	RNF13
23231	SEL1L3
7124	TNF
51428	DDX41
83719	YPEL3
10964	IFI44L
79694	MANEA
79368	FCRL2
6478	SIAH2
7918	BAT4
284336	LOC284336
2790	GNG10
965	CD58
170954	KIAA1949
1604	CD55
64115	C10orf54
8837	CFLAR
25797	QPCT
6036	RNASE2
1912	PHC2
1379	CR1L
4210	MEFV
6888	TALDO1
472	ATM
330	BIRC3
9367	RAB9A
84335	AKT1S1
3575	IL7R
326624	RAB37
1838	DTNB
5329	PLAUR
57510	XPO5
8784	TNFRSF18
10294	DNAJA2
114785	MBD6
5791	PTPRE
55632	G2E3
4067	LYN
11010	GLIPR1
3676	ITGA4
6095	RORA
51762	RAB8B
57491	AHRR
246175	CNOT6L
4542	MYO1F
286530	P2RY8
93663	ARHGAP18
283131	NEAT1
64224	HERPUD2
10487	CAP1
551913	CREG1
382	ARF6
5775	PTPN4
23076	RRP1B
10105	PPIF
114884	OSBPL10
3344	FOXN2
80325	ABTB1
55671	SMEK1
23208	SYT11
253639	ZNF620
10785	WDR4
1175	AP2S1
9637	FEZ2
23643	LY96
7852	CXCR4
9555	H2AFY
994	CDC25B
3604	TNFRSF9
317649	EIF4E3
90634	N4BP2L1
23678	SGK3
11276	SYNRG
83937	RASSF4
200734	SPRED2
11314	CD300A
83877	TM2D2
2633	GBP1
10875	FGL2
860	RUNX2
8726	EED
728	C5AR1
7430	EZR
1043	CD52
55278	QRSL1
6533	SLC6A6
57590	WDFY1
5450	POU2AF1
57490	TET2
10288	LILRB2
4478	MSN
11051	NUDT21
120425	AMICA1
51514	DTL
3394	IRF8
9697	TRAM2
29992	PILRA
3430	IFI35
4836	NMT1
6556	SLC11A1
8562	DENR
11004	KIF2C
28232	SLCO3A1
51192	CKLF
835	CASP2
56983	POGLUT1
80216	ALPK1
1164	CKS2
64174	DPEP2
5366	PMAIP1
64105	CENPK
7185	TRAF1
10285	SMNDC1
6367	CCL22
6627	SNRPA1
64919	BCL11B
4668	NAGA
64744	SMAP2
151195	CCNYL1
116985	ARAP1
10076	PTPRU
3803	KIR2DL2
127544	RNF19B
5272	SERPINB9
6046	BRD2
1232	CCR3
6875	TAF4B
55803	ADAP2
3184	HNRNPD
3684	ITGAM
79832	QSER1
91300	R3HDM4
1509	CTSD
931	MS4A1
9120	SLC16A6
222658	KCTD20
9435	CHST2
4283	CXCL9
79143	MBOAT7
10492	SYNCRIP
25984	KRT23
2999	GZMH
64231	MS4A6A
9733	SART3
5111	PCNA
9972	NUP153
120103	SLC36A4
56938	ARNTL2
51646	YPEL5
201725	C4orf46
951	CD37
5690	PSMB2
5743	PTGS2
8615	USO1
64407	RGS18
10735	STAG2
79982	DNAJB14
338382	RAB7B
144811	LACC1
1234	CCR5
10135	NAMPT
51296	SLC15A3
571	BACH1
5583	PRKCH
91526	ANKRD44
5504	PPP1R2
2539	G6PD
3553	IL1B
57192	MCOLN1
5906	RAP1A
7980	TFPI2
1493	CTLA4
9100	USP10
9960	USP3
9997	SCO2
7408	VASP
10019	SH2B3
1439	CSF2RB
10578	GNLY
5368	PNOC
5928	RBBP4
5934	RBL2
2778	GNAS
11335	CBX3
3146	HMGB1
84541	KBTBD8
9586	CREB5
10923	SUB1
1368	CPM
153339	TMEM167A
168554	ZNF467
9214	FAIM3
56300	IL1F9
127933	UHMK1
 196463	PLBD2
79609	C14orf138
5922	RASA2
27161	EIF2C2
5880	RAC2
8767	RIPK2
94120	SYTL3
8635	RNASET2
10154	PLXNC1
9765	ZFYVE16
26973	CHORDC1
59345	GNB4
51303	FKBP11
9473	C1orf38
79109	MAPKAP1
79180	EFHD2
8301	PICALM
23537	ACAP2
3624	INHBA
1880	GPR183
79627	OGFRL1
10023	FRAT1
3820	KLRB1
54820	NDE1
6397	SEC14L1
4155	MBP
152189	CMTM8
5770	PTPN1
27334	P2RY10
3001	GZMA
2908	NR3C1
23347	SMCHD1
5337	PLD1
1606	DGKA
10724	MGEA5
 54682	MANSC1
155061	ZNF746
51696	HECA
29128	UHRF1
84636	GPR174
359845	FAM101B
2000	ELF4
8930	MBD4
8826	IQGAP1
79718	TBL1XR1
4124	MAN2A1
356	FASLG
